"time","buy","sell","last_price","high","low","vol","average_60min","standard_devation_60min","bollinger_band_60min_High","bollinger_band_60min_Low","average_15min","standard_devation_15min","bollinger_band_15min_High","bollinger_band_15min_Low"
"2018/06/11 00:56:43","67.483","67.468","67.483","73.69","66.8","122915648.9536","67.48594999999999","0.00038405728739344497","67.48671811457477","67.4851818854252","67.4858","0.0007483314773548166","67.4872966629547","67.48430333704529"
"2018/06/11 00:56:44","67.485","67.422","67.422","73.69","66.8","122915898.1923","67.48488333333333","0.008195713649355816","67.50127476063204","67.46849190603461","67.48153333333333","0.015928451134859672","67.51339023560305","67.44967643106361"
"2018/06/11 00:56:44","67.485","67.422","67.422","73.69","66.8","122915898.1923","67.48381666666667","0.011485486010131152","67.50678763868693","67.46084569464641","67.47726666666668","0.021690141129608348","67.5206469489259","67.43388638440746"
"2018/06/11 00:56:44","67.485","67.422","67.422","73.69","66.8","122915898.1923","67.48275","0.013942291777180805","67.51063458355436","67.45486541644563","67.473","0.025510782034272213","67.52402156406855","67.42197843593145"
"2018/06/11 00:56:44","67.485","67.422","67.422","73.69","66.8","122915898.1923","67.48168333333334","0.015955659044853413","67.51359465142305","67.44977201524362","67.46873333333335","0.028190936289684797","67.52511520591271","67.41235146075398"
"2018/06/11 00:56:44","67.485","67.422","67.422","73.69","66.8","122915898.1923","67.48061666666666","0.017677755953616554","67.51597217857389","67.44526115475944","67.46446666666667","0.030037458096335175","67.52454158285934","67.40439175047399"
"2018/06/11 00:56:53","67.469","67.422","67.422","73.69","66.8","122915913.0607","67.47955","0.019187170192607416","67.51792434038522","67.44117565961479","67.46020000000001","0.031198717922379736","67.52259743584477","67.39780256415526"
"2018/06/11 00:56:53","67.469","67.422","67.422","73.69","66.8","122915913.0607","67.47848333333333","0.020530864299609583","67.51954506193255","67.43742160473411","67.45593333333335","0.031749995625550066","67.51943332458445","67.39243334208224"
"2018/06/11 00:56:53","67.469","67.422","67.422","73.69","66.8","122915913.0607","67.47741666666667","0.02173958882367208","67.52089584431401","67.43393748901933","67.45166666666668","0.03172310759613222","67.51511288185894","67.38822045147442"
"2018/06/11 00:56:54","67.469","67.423","67.422","73.69","66.8","122915913.0607","67.47635","0.022834787058348426","67.5220195741167","67.4306804258833","67.44740000000002","0.031116555079253514","67.50963311015852","67.38516688984151"
"2018/06/11 00:56:54","67.469","67.423","67.422","73.69","66.8","122915913.0607","67.47528333333334","0.0238321153534962","67.52294756404034","67.42761910262634","67.44313333333335","0.02989507577437723","67.5029234848821","67.3833431817846"
"2018/06/11 00:56:54","67.469","67.423","67.422","73.69","66.8","122915913.0607","67.47421666666666","0.02474341101968413","67.52370348870603","67.4247298446273","67.43886666666668","0.027978245517229966","67.49482315770115","67.38291017563222"
"2018/06/11 23:28:02","63","62.99","63","68.5","60.902","171824724.9524","62.976400000000005","0.0030724582991475597","62.9825449165983","62.97025508340171","62.9776","0.0059866518188385325","62.98957330363768","62.96562669636233"
"2018/06/11 23:30:01","62.9","62.897","62.9","68.499","60.902","171877829.3156","62.9","0","62.9","62.9","62.89999999999999","7.105427357601002e-15","62.900000000000006","62.89999999999998"
"2018/06/11 23:31:02","62.934","62.905","62.9","68.499","60.902","171950776.7887","62.9","0","62.9","62.9","62.89999999999999","7.105427357601002e-15","62.900000000000006","62.89999999999998"
"2018/06/11 23:32:03","63.184","63.033","63.033","68.499","60.902","171967494.6707","62.90221666666666","0.01702653974110909","62.93626974614888","62.86816358718444","62.90886666666666","0.033176028829396284","62.97521872432545","62.84251460900787"
"2018/06/11 23:32:59","63.075","63.074","63.074","68.499","60.902","171981257.3412","62.905116666666665","0.027807128382644934","62.96073092343195","62.849502409901376","62.92046666666666","0.05271415580489032","63.02589497827644","62.815038355056885"
"2018/06/11 23:34:02","63.076","63.074","63.076","68.499","60.902","172008700.7498","62.908049999999996","0.03536779373007811","62.97878558746015","62.83731441253984","62.932199999999995","0.06500687143166788","63.06221374286333","62.80218625713666"
"2018/06/11 23:35:02","63.049","63.024","63.049","68.499","60.902","172067852.4672","62.910533333333326","0.03968310583723144","62.98989954500779","62.831167121658865","62.94213333333333","0.07048107705066867","63.08309548743467","62.80117117923199"
"2018/06/11 23:36:02","63.066","63.06","63.058","68.499","60.902","172116540.0303","62.91316666666666","0.04391361469471153","63.00099389605609","62.825339437277236","62.952666666666666","0.0750552389170068","63.10277714450068","62.802556188832654"
"2018/06/11 23:37:02","63.179","63.135","63.18","68.499","60.902","172223483.9665","62.91783333333332","0.05559141620390321","63.029016165741126","62.806650500925514","62.97133333333333","0.09244073176305447","63.15621479685944","62.786451869807216"
"2018/06/11 23:38:02","63.104","63.1","63.108","68.499","60.902","172215864.8648","62.921299999999995","0.060628458664228196","63.042556917328454","62.800043082671536","62.985199999999985","0.09622348985564833","63.177646979711284","62.792753020288686"
"2018/06/11 23:39:01","63.068","63.065","63.068","68.499","60.902","172334084.1175","62.924099999999996","0.06339629326703591","63.05089258653407","62.79730741346592","62.99639999999999","0.09542871685189969","63.187257433703785","62.80554256629619"
"2018/06/11 23:40:02","63.059","63.057","63.059","68.499","60.902","172397853.5744","62.92675","0.06561773769340129","63.0579854753868","62.795514524613196","63.006999999999984","0.0929300812439117","63.192860162487804","62.82113983751216"
"2018/06/11 23:41:00","62.949","62.916","62.949","68.499","60.902","172477837.7773","62.92756666666667","0.0655846442054508","63.05873595507757","62.79639737825577","63.01026666666665","0.08992401730844168","63.190114701283534","62.83041863204977"
